"","Date","Open","High","Low","Settle","Volume","Prev. Day Open Interest"
"590",2014-05-30,99.745,99.745,99.745,99.745,4,1656
"591",2014-05-29,99.75,99.75,99.75,99.75,0,1656
"592",2014-05-28,99.75,99.75,99.74,99.75,20,1656
"593",2014-05-27,99.75,99.75,99.75,99.75,1,1657
"594",2014-05-26,99.75,99.75,99.75,99.75,2,1656
"595",2014-05-23,99.745,99.745,99.745,99.745,0,1656
"596",2014-05-22,99.74,99.74,99.74,99.74,23,1656
"597",2014-05-21,99.74,99.74,99.735,99.74,68,1673
"598",2014-05-20,99.74,99.74,99.74,99.745,113,1662
"599",2014-05-19,99.74,99.74,99.735,99.74,72,1645
"600",2014-05-16,99.745,99.745,99.745,99.745,0,1645
"601",2014-05-15,99.755,99.755,99.755,99.755,0,1645
"602",2014-05-14,99.735,99.735,99.735,99.74,308,1762
"603",2014-05-13,99.73,99.73,99.73,99.73,201,1633
"604",2014-05-12,99.72,99.72,99.72,99.725,23,1620
"605",2014-05-09,99.725,99.725,99.725,99.725,0,1620
"606",2014-05-08,99.73,99.73,99.73,99.73,0,1620
"607",2014-05-07,99.71,99.71,99.71,99.71,0,1620
"608",2014-05-06,99.71,99.71,99.71,99.71,0,1620
"609",2014-05-05,99.715,99.715,99.715,99.715,0,1620
"610",2014-05-02,99.71,99.71,99.71,99.71,0,1620
"611",2014-04-30,99.715,99.715,99.715,99.715,0,1620
"612",2014-04-29,99.7,99.7,99.7,99.705,6,1619
"613",2014-04-28,99.685,99.685,99.685,99.685,0,1619
"614",2014-04-25,99.685,99.685,99.685,99.685,0,1619
"615",2014-04-24,99.685,99.685,99.685,99.685,0,1619
"616",2014-04-23,99.69,99.69,99.69,99.69,0,1619
"617",2014-04-22,99.7,99.7,99.7,99.7,0,1619
"618",2014-04-17,99.705,99.705,99.705,99.705,0,1619
"619",2014-04-16,99.71,99.71,99.71,99.71,0,1619
"620",2014-04-15,99.72,99.72,99.72,99.72,0,1619
"621",2014-04-14,99.71,99.71,99.71,99.715,17,1609
"622",2014-04-11,99.705,99.715,99.705,99.705,4,1609
"623",2014-04-10,99.72,99.72,99.72,99.72,0,1609
"624",2014-04-09,99.71,99.71,99.71,99.71,0,1609
"625",2014-04-08,99.705,99.705,99.705,99.705,0,1609
"626",2014-04-07,99.705,99.705,99.705,99.705,0,1609
"627",2014-04-04,99.695,99.695,99.695,99.7,5,1611
"628",2014-04-03,99.69,99.69,99.69,99.69,0,1611
"629",2014-04-02,99.7,99.7,99.7,99.705,24,1589
"630",2014-04-01,99.7,99.7,99.7,99.7,0,1589
"631",2014-03-31,99.705,99.705,99.705,99.71,5,1587
"632",2014-03-28,99.715,99.715,99.715,99.715,0,1587
"633",2014-03-27,99.725,99.725,99.725,99.725,0,1587
"634",2014-03-26,99.705,99.71,99.705,99.71,278,1337
"635",2014-03-25,99.695,99.695,99.695,99.7,62,1275
"636",2014-03-24,99.68,99.68,99.68,99.68,0,1275
"637",2014-03-21,99.665,99.665,99.665,99.665,2,1275
"638",2014-03-20,99.67,99.675,99.67,99.675,6,1273
"639",2014-03-19,99.685,99.685,99.685,99.685,0,1273
"640",2014-03-18,99.69,99.695,99.69,99.69,202,1302
"641",2014-03-17,99.695,99.695,99.695,99.695,0,1302
"642",2014-03-14,99.695,99.695,99.695,99.695,0,2318
"643",2014-03-13,99.7,99.7,99.7,99.7,0,2318
"644",2014-03-12,99.695,99.695,99.695,99.695,0,2318
"645",2014-03-11,99.695,99.695,99.695,99.695,5,2321
"646",2014-03-10,99.68,99.68,99.68,99.69,1,2322
"647",2014-03-07,99.685,99.685,99.685,99.68,361,2380
"648",2014-03-06,99.735,99.735,99.735,99.7,350,2430
"649",2014-03-05,99.74,99.74,99.74,99.73,1,2431
"650",2014-03-04,99.74,99.74,99.74,99.74,5,2633
"651",2014-03-03,99.725,99.725,99.725,99.725,23,2870
"652",2014-03-02,99.75,99.75,99.73,99.725,13,2942
"653",2014-03-01,99.75,99.75,99.73,99.725,13,2942
"654",2014-02-28,99.725,99.725,99.725,99.725,252,2842
"655",2014-02-27,99.74,99.74,99.735,99.74,405,3109
"656",2014-02-26,99.73,99.73,99.73,99.735,106,3045
"657",2014-02-25,99.73,99.73,99.73,99.735,21,3039
"658",2014-02-24,99.74,99.74,99.73,99.735,45,3043
"659",2014-02-23,99.75,99.75,99.73,99.725,13,2942
"660",2014-02-22,99.75,99.75,99.73,99.725,13,2942
"661",2014-02-21,99.74,99.74,99.74,99.74,51,3094
"662",2014-02-20,99.74,99.74,99.74,99.74,0,3094
